No,Album Title,Artist,Genre,Submitted By,Album Cover,Ranking ,,,,Repeated Submissions,
77,Willy and the Poor Boys,Creedence Clearwater Revival,Rock,Dick,,,,,,,
78,The Doors,Self Titled,Rock,Dick,,,,,,,
79,2014 Forest Hills Drive,J Cole,Hip-Hop/Rap,Dick,,,,,,,
80,The Rise and Fall of Ziggy Stardust,David Bowie,Rock,Dick,,,,,,,
81,Dr. Feelgood,Motely Crew,Rock,Dick,,,,,,,
82,Straight Outa Compton,N.W.A.,Hip-Hop/Rap,Dick,,,,,,,
83,Debi Tirar Mas Fotos,Bad Bunny,Latin,Dick,,,,,,,
84,69 Love Songs,The Magnetic Fields,Alternative,Sam,,,,,,,
85,Lucky Dumpling,Moonpools & Caterpillars,Alternative,Sam,,,,,,,
86,Melodrama,Lorde,Pop,Sam,,,,,,,
87,Our Little Secret,Lords of Acid,Electronic,Sam,,,,,,,
88,Chomp,Pylon,Alternative,Sam,,,,,,,
89,Demon Days,Gorrillaz,Alternative,Sam,,,,,,,
90,Rock Machine,LA Femme,Alternative,Sam,,,,,,,
91,White Pepper,Ween,Alternative,Sam,,,,,,,
92,Doolittle,Pixies,Alternative,Sam,,,,,,,
93,VEGA INTL. Night School,Neon Indian,Electronic,Sam,,,,,,,
94,Discovery,Daft Punk,Electronic,Sam,,,,,,,
95,Bon Voyage,Melody's Echo Chamber,Alternative,Sam,,,,,,,
96,Last Splash,The Breeders,Alternative,Sam,,,,,,,
97,Reptilians ,STRFKR,Alternative,Sam,,,,,,,
98,Plastic Beach ,Gorrillaz,Alternative,Sam,,,,,,,
99,What’s Going On,Marvin Gaye,R+B/Soul,Tecca,,,,,,,
100,Live,Donny Hathaway,R+B/Soul,Tecca,,,,,,,
101,Modal Soul,Nujabes,Hip-Hop/Rap,Tecca,,,,,,,
102,Endtroducing…..,DJ Shadow,Electronic,Tecca,,,,,,,
103,From Mars to Sirius,Gojira,Metal,Tecca,,,,,,,
104,Emahoy Tsege Mariam Gebru,Emahoy Tsege Mariam Gebru,Classical,Tecca,,,,,,,
105,Giant Steps,John Coltrane,Jazz,Tecca,,,,,,,
106,Be,Common,Hip-Hop/Rap,Tecca,,,,,,,
107,Pink Moon,Nick Drake,Pop,Tecca,,,,,,,
108,Ilana (The Creator),Mdou Moctar,Worldwide,Tecca,,,,,,,
109,Fine Anyway,Roger Fakhr,Alternative,Tecca,,,,,,,
110,Replica,Oneohtrix Point Never,Electronic,Tecca,,,,,,,
111,Phantom Rhythm,Gong Gong Gong,Alternative,Tecca,,,,,,,
112,Black Messiah,D’Angelo,R+B/Soul,Tecca,,,,,,,
113,Sunbather,Deafheaven,Metal,Tecca,,,,,,,
114,An Evening with Silk Sonic,Silk Sonic,R+B/Soul,Chris,,,,,,,
115,Channel Orange,Frank Ocean,R+B/Soul,Chris,,,,,,,
116,A Long Way from Your Heart,Turnpike Troubadours,Country,Chris,,,,,,,
117,Californication,Red Hot Chili Peppers,Alternative,Chris,,,,,,,
118,"good kid, m.A.A.d city",Kendrick Lamar,Hip-Hop/Rap,Chris,,,,,,,
119,Salad Days,Mac DeMarco,Alternative,Chris,,,,,,,
120,Fresh Fruit for Rotting Vegetables,Dead Kennedys,Punk,Chris,,,,,,,
121,Leviathan,Mastodon,Metal,Chris,,,,,,,
122,Ride the Lightning,Metallica,Metal,Chris,,,,,,,
123,The Miseducation of Lauryn Hill,Lauryn Hill,R+B/Soul,Chris,,,,,,,
124,Unplugged,Alice In Chains,Rock,Chris,,,,,,,
125,Pregnancy Pack,Dende,R+B/Soul,Chris,,,,,,,
126,Hotel California,Eagles,Rock,Chris,,,,,,,
127,The Low End Theory,A Tribe Called Quest,Hip-Hop/Rap,Chris,,,,,,,
128,ATLiens,OutKast,Hip-Hop/Rap,Chris,,,,,,,
129,2112,Rush,Rock,Grant,,,,,,,
130,The Dark Side of the Moon,Pink Floyd,Rock,Grant,,,,,,,
131,Fear of a Blank Planet,Porcupine Tree,Rock,Grant,,,,,,,
132,Lateralus,Tool,Metal,Grant,,,,,,,
133,Moving Pictures,Rush,Rock,Grant,,,,,,,
134,Physical Graffiti,Led Zeppelin,Rock,Grant,,,,,,,
135,Are You Experienced,Jimi Hendrix,Rock,Grant,,,,,,,
136,Aqualung,Jethro Tull,Rock,Grant,,,,,,,
137,Close to the Edge,Yes,Rock,Grant,,,,,,,
138,Paranoid,Black Sabbath,Metal,Grant,,,,,,,
139,Home,Billy Strings,Bluegrass,Brian,,,,,,,
140,Better Together ,Jack Johnson,Folk,Brian,,,,,,,
141,"What Up, Dog?",Was (Not Was),Rock,Brian,,,,,,,
142,666,Sugar Candy Moiuntain,Alternative,Brian,,,,,,,
143,The Universe Smile Upon You,Khuangbin,Alternative,Brian,,,,,,,
144,Toxic Planet,Cobra Man,Electronic,Brian,,,,,,,
145,Odyssee,L'Imperatrice,Pop,Brian,,,,,,,
146,It Won't Be Soon Before Long,Maroon 5,Pop,Mike,,,,,,,
147,Love Is a Four Letter Word,Jason Mraz,Pop,Mike,,,,,,,
148,Wild Onion,Twin Peaks,Alternative,Mike,,,,,,,
149,Don't Forget Me,Maggies Rogers,Pop,Mike,,,,,,,
150,Painting Pictures,Kodak Black,Hip-Hop/Rap,Mike,,,,,,,
151,Chicken Fried Snake,Rattlesnake Milk,Alternative,Mike,,,,,,,
152,Wiped Out,The Neighborhood,Rock,Mike,,,,,,,
153,Vitals,Mutemath,Alternative,Mike,,,,,,,
154,?,XXX,Hip-Hop/Rap,Mike,,,,,,,
155,I Love You So Fucking Much,Glass Animals,Alternative,Mike,,,,,,,
156,Evil Friends,Portugal The Man,Alternative,Mike,,,,,,,
157,East Atlantic Love Letter,6lack,R+B/Soul,Mike,,,,,,,
158,Why Lawd,NxWorries,R+B/Soul,Mike,,,,,,,
159,Legend,Bob Marley,Reggae,Mike,,,,,,,
160,Warm,Forrest & Bisquick,R+B/Soul,Mike,,,,,,,
161,New Mania,88Glam,Hip-Hop/Rap,Iden,,,,,,,
162,Dangerous Summer,Yeat,Hip-Hop/Rap,Iden,,,,,,,
163,One Thing at a Time,Morgan Wallen,Country,Iden,,,,,,,
164,"Honestly, Nevermind",Drake,Hip-Hop/Rap,Iden,,,,,,,
165,Fire on Marzz,Benee,Hip-Hop/Rap,Iden,,,,,,,
166,SANDAS,Sahbabii,Hip-Hop/Rap,Iden,,,,,,,
167,Hood Favorite,Jay Critch,Hip-Hop/Rap,Iden,,,,,,,
168,Ella Mai,Self Titled,R+B/Soul,Iden,,,,,,,
